[2024-06-16 14:46:45,583 27 20 Data Injestion Started]
[2024-06-16 14:46:56,214 37 20 Data Splitting Done...]
[2024-06-16 14:47:05,261 41 20 Data Injestion Done...]
[2024-06-16 14:47:06,579 87 20 Removing outliers from training data]
[2024-06-16 14:47:06,579 54 20 Removing outliers using IQR method]
[2024-06-16 14:47:06,644 68 20 Outliers Removed.]
[2024-06-16 14:47:06,644 54 20 Removing outliers using IQR method]
[2024-06-16 14:47:06,702 68 20 Outliers Removed.]
[2024-06-16 14:47:06,702 54 20 Removing outliers using IQR method]
[2024-06-16 14:47:06,836 68 20 Outliers Removed.]
[2024-06-16 14:47:06,836 54 20 Removing outliers using IQR method]
[2024-06-16 14:47:06,943 68 20 Outliers Removed.]
[2024-06-16 14:47:06,944 54 20 Removing outliers using IQR method]
[2024-06-16 14:47:07,069 68 20 Outliers Removed.]
[2024-06-16 14:47:07,069 91 20 Removing Done from training data]
[2024-06-16 14:47:07,069 94 20 Removing outliers from test data]
[2024-06-16 14:47:07,069 54 20 Removing outliers using IQR method]
[2024-06-16 14:47:07,104 68 20 Outliers Removed.]
[2024-06-16 14:47:07,104 54 20 Removing outliers using IQR method]
[2024-06-16 14:47:07,131 68 20 Outliers Removed.]
[2024-06-16 14:47:07,131 54 20 Removing outliers using IQR method]
[2024-06-16 14:47:07,197 68 20 Outliers Removed.]
[2024-06-16 14:47:07,197 54 20 Removing outliers using IQR method]
[2024-06-16 14:47:07,254 68 20 Outliers Removed.]
[2024-06-16 14:47:07,254 54 20 Removing outliers using IQR method]
[2024-06-16 14:47:07,319 68 20 Outliers Removed.]
[2024-06-16 14:47:07,319 98 20 Removing Done from test data]
[2024-06-16 14:47:07,319 30 20 Data Transformation Started....]
[2024-06-16 14:47:07,319 104 20 Splitting into dependent and independent variables]
[2024-06-16 14:47:09,355 127 20 Problem in initiating data transform]
